"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"","2d34f7be-84d2-4bcd-b520-ff329e2533c5","","","","","","SQ1355191","Length","1.8M","","","","","","","","","","","50.00","23.99","Yes","1","","","0.0","0.0","0.0","0.0","",""
"63ae64fd52572d298f55c6ac","467ceb58-9ad9-47ed-8c9f-063e38c99302","PHYSICAL","shop","36w-dual-car-charger","38W Dual Car Charger Carbon Fiber Finish USB-A and USB-C","<p class="""">38W high power charger:&nbsp;Smart independent circuit operation, two ports total output reach 36W power, significantly reducing charging time.</p><ul data-rte-list=""default""><li><p class="""">Unique design:&nbsp;Extraordinary carbon fibre texture design is complemented by special craftsmanship to make an excellent and comfortable hand feel.</p></li><li><p class="""">High-temperature resistance and fast heat dissipation:&nbsp;Flame retardant PC+ABS material is guaranteed to be safe, stable, and long-term operation in a temperature environment</p></li><li><p class="""">Wide compatibility:&nbsp;mobiles, cameras, wireless earphones, smartwatch, hand game&nbsp;</p></li></ul>","SQ9070337","","","","","","","","","","","","","50.00","25.00","Yes","3","/accessories","","0.0","0.0","0.0","0.0","No","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1672462760697-H9EUNYQ14SQMOUFG8MV0/cc-5970.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1672374627048-KKHBOMUZB5Q1A7XKFJDL/6.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1672374626786-EQ0IU0GKIMYCPOV1NNYD/5.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1672374626719-BENF05CR97L7ZQ4M3Y7F/2.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1672374626552-PPQH78AF0KYAHWLKX1PE/3.jpg"
"669306b55390d222a0e70e91","427fb81b-ba9a-44fb-a58c-393a80683233","PHYSICAL","shop","36w-ra-mc","36W Lightning Right Angle Cable","<p class="""" data-rte-preserve-empty=""true"" style=""white-space:pre-wrap;""></p>","SQ2382869","Colour","Purple","Size","1.2M","","","","","","","","","8.99","0.00","No","0","/apple-cables","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1720911861004-JSQZUE568UDQ1IPWHFVZ/CA-344Purple_4817980f-73c9-4c7e-9fe8-b1551adc00b8-removebg-preview.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1720911896330-RSXR8IVBH8FO4K0H6B25/ginee_20230503122303701_3792756826+%281%29.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1720911921021-M0433KG5ZBBK0RI7WNXR/ginee_20230503122303733_2684239538.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1720911920911-GD1X8WLXDA3BWDRQ13CD/ginee_20230503122303669_6310086099.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1720911920858-7O8Y412ROU4VO6BC07BS/ginee_20230503122303668_8892431948.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1720911881318-3OQ65RQZDD0YYFTL74Q6/CA-344Black_3aa3a367-aedf-4834-8328-ab8d4a286e8d-removebg-preview.png"
"","4aa83abc-865f-4916-8da4-dcc08e2ae947","","","","","","SQ5012162","Colour","Purple","Size","1.8M","","","","","","","","","15.99","0.00","No","2","","","0.0","0.0","0.0","0.0","",""
"","24ce8739-189f-4a9e-a5ce-e8d2a187ddc3","","","","","","SQ7053731","Colour","Black","Size","1.2M","","","","","","","","","8.99","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
"","6b1e19a0-1915-49f6-8270-5e414b3bb7b3","","","","","","SQ4480563","Colour","Black","Size","1.8M","","","","","","","","","15.99","0.00","No","2","","","0.0","0.0","0.0","0.0","",""
"6402c4506fe4e134a9ad57ef","307a0f53-d410-4b23-9f88-49d0e4965011","PHYSICAL","shop","36w-zebra-series","USB-C to Lightning Zebra Series 90 Degree","<p class=""""><strong>90° Ultra Slim Connectors with a Smart LED</strong></p>","SQ3193436","Length","1.2M","","","","","","","","","","","40.00","16.95","Yes","0","/right-angle-cables, /apple-cables","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677902941244-H7YEHTE79D8ZAH4HCKLG/2_968785e0-db7e-4dca-a2ed-b0aa01345ca0_1000x1000_crop_center.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677902942771-CDPMUUDGHXSALMDD8EJY/3_06a4f612-4f46-401f-9fcd-69dc976f6b5d_1000x1000_crop_center.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677902941053-FNK2MLMR2U1DABWROR19/1_ddb2acc5-7732-49f1-a22f-070181a21341_1000x1000_crop_center.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677902943154-5UNZWN8PCL9NY8WGAHKU/2_ee2e263c-8f4c-415a-b39e-43012b8a3f6a_1000x1000_crop_center.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677902943031-6LEUAXEOMVBOOA4YSUPL/5_918114c8-ba27-4769-be3a-07214c4e065e_1000x1000_crop_center.jpg https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1677902943056-BIPE9G0U61HTHW9LUVSN/4_da9e50a4-9b8a-4880-8f0e-ff11919cf92c_1000x1000_crop_center.jpg"
"","dcca52b0-d2f6-4510-92de-80748b861e60","","","","","","SQ9165078","Length","1.8M","","","","","","","","","","","50.00","19.95","Yes","0","","","0.0","0.0","0.0","0.0","",""
"663e829e61689a56db4cc543","10e107d8-5bbb-481e-bda1-2e64af8dc22b","PHYSICAL","shop","3in1-cosmos-black","3 in 1 Retractable Cable USB-C, MICRO USB, Lightning","<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span data-letter-spacing=""2"" style=""letter-spacing: 0.1em"">Sparkling sand with luminous function</span></strong></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span data-letter-spacing=""2"" style=""letter-spacing: 0.1em"">Retractable design for cable length adjustment</span></strong></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span data-letter-spacing=""2"" style=""letter-spacing: 0.1em"">Mechanical design for either side pulling</span></strong></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span data-letter-spacing=""2"" style=""letter-spacing: 0.1em"">Charging 3 devices simultaneously, total output Max. 3.5A</span></strong></p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong><span data-letter-spacing=""2"" style=""letter-spacing: 0.1em"">Reliable for bending and tangle-free</span></strong></p></li></ul>","SQ7626697","Color","Cosmos Black","","","","","","","","","","","29.99","19.99","Yes","0","/usbc-cables, /apple-cables, /accessories","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/1715373084242-0A5YYJMD0EB9Y5QQOG8G/s-l1600__1_-removebg-preview.png https://images.squarespace-cdn.com/content/v1/5f72acc31b34c544edab12fe/39a1e59d-d180-4d5d-a6e6-f4e169da345f/8bc67f832349cfeb52af01a1e4d66d2d.jpg_2200x2200q80.jpg___1_-removebg-preview.png"
"","1f63b67f-1163-4df1-b133-e4a39adc8f61","","","","","","SQ2112699","Color","Pink","","","","","","","","","","","29.99","19.99","Yes","1","","","0.0","0.0","0.0","0.0","",""
